"","gene_hgnc","gene","logFC","logCPM","F","PValue","FDR","rank"
"4805","IL21R","IL21R",-0.252335617592999,4.7405830551967,14.7602700878869,0.000233074083208562,0.0125732157365062,-3.63250601539091
"11087","TLNRD1","MESDC1",-0.29612163699272,3.72328582208034,14.7333715984323,0.000235926662292949,0.0125953769132775,-3.62722297631498
"2294","CREM","CREM",-0.50502979915068,7.1507463488217,14.708758854713,0.00023856833423181,0.012605407608518,-3.62238720182677
"5382","LEPROTL1","LEPROTL1",-0.186490468504258,9.4640960950554,14.6754430316367,0.000242192701916281,0.0126692174272577,-3.61583894775466
"12245","YBX1","YBX1",-0.194711279386275,8.0482339118938,14.6587833467547,0.000244026296089618,0.0127138680287977,-3.61256337189375
"8109","PLK2","PLK2",-0.51270109841018,2.78831279661701,14.5997926871908,0.000250634642435145,0.0130033453670667,-3.60095890150379
"11684","TUBA4A","TUBA4A",-0.187183503312064,7.44995454385698,14.5826493324349,0.000252589457527235,0.0130033453670667,-3.59758477980323
"6033","LRRC32","LRRC32",-0.61248830818692,1.99394764604778,14.4983206458975,0.000262436362091706,0.0132991676774051,-3.58097599108868
"2422","CXCR4","CXCR4",-0.255002311914383,11.2859152314254,14.3468154905122,0.000281132556271693,0.0141361730717545,-3.55108885844649
"12269","YRDC","YRDC",-0.221746237336317,4.49096822279858,14.3101712978949,0.00028585719507097,0.0143182447554274,-3.5438508720511
"2423","CXCR5","CXCR5",-0.302102468766415,5.61333533187416,14.283614010512,0.000289332356387276,0.0143812592314641,-3.53860299595906
"2564","DDIT4","DDIT4",-0.387042778276969,8.74114738710081,14.2156250152429,0.000298428787011265,0.0147205956421944,-3.52515928630279
"12168","WDR89","WDR89",-0.169372086366925,5.97099522092708,14.1589487137528,0.000306236601009478,0.0149917261316829,-3.51394290421092
"2080","CLSPN","CLSPN",-0.358035022295148,2.51369093341213,20.6551817447865,0.000323107443915469,0.015640570410132,-3.49065303636746
"3831","GABARAPL1","GABARAPL1",-0.480212533227645,6.07698451667755,13.9960414858048,0.000329872084648511,0.0158827257511593,-3.48165443497321
"7179","NFKB2","NFKB2",-0.307071802662783,4.79434023450814,13.9687893759424,0.000334005844887114,0.0159891432683415,-3.47624593324828
"11655","TTC39B","TTC39B",-0.195111859596493,5.17613566680105,13.8497593632687,0.000352696325716275,0.0166935578949944,-3.4525990646576
"4034","GNA15","GNA15",-0.412262722388299,3.70375209623428,13.8428389079817,0.000353815599962334,0.0166935578949944,-3.45122302267502
"8180","POFUT2","POFUT2",-0.272335811621548,3.62317603178877,13.8188553232,0.000357722967883027,0.016814275588212,-3.44645317473884
"11071","TK1","TK1",-0.444706678010231,2.59216173612924,13.7738962120813,0.000365167884825778,0.0170407301073555,-3.43750742406284
"4299","H1-2","HIST1H1C",-0.261071058753521,4.75435482528422,13.751328499252,0.00036896494693329,0.0171562088048945,-3.433014891501
"4691","ID1","ID1",-0.710898369390439,2.08507046032536,13.6695247207364,0.000383073047521152,0.0177485951624711,-3.41671840328869
"4543","HMGCR","HMGCR",-0.250248475626269,4.8878591831122,13.6313713017491,0.000389842063519747,0.017980998696053,-3.40911130280451
"48","ABCG1","ABCG1",-0.27271686343264,5.17525403787636,13.6256864636568,0.000390861144861401,0.017980998696053,-3.40797750022777
"9894","SLC25A33","SLC25A33",-0.278811676683388,4.23642418992423,13.5933317190914,0.000396713665312563,0.0181759711732686,-3.40152283943605
"9773","SIAH2","SIAH2",-0.244320409967929,5.83727465874703,13.5206175391829,0.0004101985534192,0.018671950293008,-3.38700587552096
"10867","TBL2","TBL2",-0.248346320119617,3.97349227168639,13.3276635240526,0.000448320625423004,0.0199864724179128,-3.34841128053786
"6507","MID1IP1","MID1IP1",-0.301648530367367,2.99187794988232,13.3148404946489,0.000450980046646599,0.0200361785792683,-3.34584267280713
"3983","GJB6","GJB6",-0.616841962780789,2.0148275810544,13.2981350382814,0.0004544690747154,0.0200538343751119,-3.34249566389944
"1632","CCR9","CCR9",-0.458598392393193,3.22089088951879,13.2068307458645,0.000474036354180522,0.0206364886670601,-3.32418835070025
"4290","GZF1","GZF1",-0.273446467209886,3.84682128747966,13.1668132932487,0.000482884252627402,0.0208815246977843,-3.31615695717687
"10075","SMAP2","SMAP2",-0.238868963161307,6.94690092079981,13.1017781350051,0.000497628524871361,0.0214476240968643,-3.30309473314206
